name,code,gender
GURSEL,TR,M
GURSOY,TR,M
GUVEN,TR,M
GUVENC,TR,M
GUZIDE,TR,F
GUZIN,TR,F
HABIB,TR,M
HABIBE,TR,F
HABIP,TR,M
HAC,TR,M
HACER,TR,F
HADICE,TR,F
HAFIZE,TR,F
HAKAN,TR,M
HAKANCAN,TR,M
HAKIME,TR,F
HAKK,TR,M
HALDUN,TR,M
HALE,TR,F
HALIDE,TR,F
HALIL,TR,M
HALIM,TR,M
HALIMA,TR,F
HALIME,TR,F
HALIS,TR,M
HALISE,TR,F
HALIT,TR,M
HALUK,TR,M
HALUK ILICAK,TR,M
HAMDI,TR,M
HAMDIYE,TR,F
HAMI,TR,M
HAMIDE,TR,F
HAMIDIYE,TR,F
HAMIT,TR,M
HAMIYET,TR,F
HAMZA,TR,M
HAN,TR,M
HANDAN,TR,F
HANDE,TR,F
HANIF,TR,M
HANIFE,TR,F
HANIFI,TR,M
HANM,TR,F
HARIKA,TR,F
HARUN,TR,M
HASAN,TR,M
HASANCAN,TR,M
HASBI,TR,M
HASIBE,TR,F
HASIM,TR,M
HASRET,TR,F
HATAY,TR,M
HATEM,TR,M
HATICE,TR,F
HATUN,TR,F
HAVVA,TR,F
HAYAT,TR,?
HAYATI,TR,M
HAYDAR,TR,M
HAYRANI,TR,?
HAYRETTIN,TR,M
HAYRI,TR,M
HAYRIYE,TR,F
HAYRUL,TR,M
HAYRULLAH,TR,M
HAZAL,TR,F
HAZAN,TR,F
HAZAR,TR,M
HDR,TR,M
HEDIYE,TR,F
HELIN,TR,F
HICRAN,TR,F
HIDAYET,TR,M
HIKMET,TR,M
HILAL,TR,F
HILMI,TR,M
HIMMET,TR,M
HUDAYE,TR,F
HUDAYI,TR,M
HULISI,TR,M
HULUSI,TR,M
HULYA,TR,F
HUMA,TR,F
HUMEYRA,TR,F
HUN,TR,M
HUNER,TR,F
HUNKAR,TR,M
HURI,TR,F
HURIYE,TR,F
HURREM,TR,F
HURRIYET,TR,F
HURSIT,TR,M
HURSUT,TR,M
HUSAMETTIN,TR,M
HUSEYIN,TR,M
HUSNE,TR,F
HUSNIYE,TR,F
HUSNU,TR,M
HUSNUYE,TR,F
HUSREV,TR,M
HZR,TR,M
IBADULLAH,TR,M
IBRAHIM,TR,M
ICLAL,TR,F
IDIL,TR,F
IDRIS,TR,M
IFFET,TR,F
IFTADIYE,TR,F
IHSAN,TR,M
IKBAL,TR,F
ILAYDA,TR,F
ILGN,TR,F
ILHAM,TR,M
ILHAMI,TR,M
ILHAN,TR,M
ILKAN,TR,M
ILKAY,TR,?
ILKE,TR,F
ILKER,TR,M
ILKIN,TR,M
ILKNUR,TR,F
ILYADA,TR,F
ILYAS,TR,M
IMAN,TR,M
IMDAT,TR,M
IMGE,TR,F
IMRAN,TR,F
IMREN,TR,F
INAN,TR,M
INANC,TR,M
INCI,TR,F
IPEK,TR,F
IREM,TR,F
IRFAN,TR,M
IRMAK,TR,F
ISA,TR,M
ISHAK,TR,M
ISK,TR,F
ISKENDER,TR,M
ISL,TR,F
ISLAM,TR,M
ISLAY,TR,F
ISMAHAN,TR,F
ISMAIL,TR,M
ISMET,TR,M
ISMIGUL,TR,F
ISMIHAN,TR,F
ISN,TR,F
ITR,TR,M
IZEL,TR,F
IZZET,TR,M
IZZETTIN,TR,M
JALE,TR,F
JINAN,TR,F
JULIDE,TR,F
KAAN,TR,M
KADER,TR,?
KADIR,TR,M
KADIRCAN,TR,M
KADRI,TR,M
KADRIYE,TR,F
KAGAN,TR,M
KAHRAMAN,TR,M
KALENDER,TR,M
KAMBER,TR,M
KAMBIZ,TR,M
KAMELYA,TR,F
KAMER,TR,M
KAMIL,TR,M
KAMILE,TR,F
KAMURAN,TR,?
KARDELEN,TR,F
KARTAL,TR,M
KASM,TR,M
KATIBE,TR,F
KATIP,TR,M
KAYA,TR,M
KAYAHAN,TR,M
KAYHAN,TR,M
KAZM,TR,M
KEMAL,TR,M
KEMALETTIN,TR,M
KENAN,TR,M
KERAMETTIN,TR,M
KEREM,TR,M
KERIM,TR,M
KEVSER,TR,F
KEZBAN,TR,F
KEZIBAN,TR,F
KIBAR,TR,M
KIBARIYE,TR,F
KIRAZ,TR,F
KOKSAL,TR,M
KONCA,TR,F
KORAY,TR,M
KORHAN,TR,M
KORKMAZ,TR,M
KORKUT,TR,M
KUBILAY,TR,M
KUBRA,TR,F
KUDDUSI,TR,M
KUDRET,TR,M
KULU,TR,M
KURBAN,TR,M
KURSAD,TR,M
KURSAT,TR,M
KURTULUS,TR,M
KUTAY,TR,M
KUTLU,TR,M
